아이디,한자,구자,부수,총획,학년,추가연도,삭제연도,발음,훈음,뜻
1422,珍,,玉,9,S,,,チン、めずら-しい,보배 진,1.진귀하다 2.보통과다른 3.뜻밖의 4.귀중한 5.소중히하다
1423,朕,,月,10,S,,,チン,나 짐,
1424,陳,,阜,11,S,,,チン,베풀/묵을 진,1.진열하다 2.진술하다 3.낡다 4.진(陣) 5.낡은것
1425,賃,,貝,13,6,,,チン,품삯 임,1.삯 2.사용료 3.임금
1426,鎮,鎭,金,18,S,,,チン、しず-める、しず-まる,진압할 진,1.억누르다 2.진정시키다 3.누르는것 4.한지방의수비군 5.중진
1427,追,,辵,9,3,,,ツイ、お-う,쫓을/따를 추,1.뒤쫓다 2.몰아내다 3.캐내다 4.추모하다 5.회상하다
1428,椎,,木,12,S,2010,,ツイ,등골 추,
1429,墜,,土,15,S,,,ツイ,떨어질 추,1.떨어지다 2.잃다 3.떨어뜨리다
1430,通,,辵,10,2,,,ツウ、（ツ）、とお-る、とお-す、かよ-う,통할 통,1.한쪽에서다른쪽으로가다 2.지나가다 3.널리퍼지다 4.막힘없이이루어지다 5.꿰뚫다
1431,痛,,疒,12,6,,,ツウ、いた-い、いた-む、いた-める,아플 통,1.아프다 2.마음이아프다 3.심하게 4.걱정하다 5.몹시
1432,塚,塚,土,12,S,1981,,つか,무덤 총,1.(성토한)무덤 2.(흙으로쌓은)이정표
1433,漬,,水,14,S,1981,,つ-ける、つ-かる,담글 지,
1434,坪,,土,8,S,,,つぼ,들 평,1.평 2.(토지면적의)단위 3.(흙·모래부피등의)단위 4.(인쇄제판단위등의)평 5.(타일·피혁단위의)평
1435,爪,,爪,4,S,2010,,つめ、（つま）,손톱 조,1.손톱 2.(거문고의)가조각(假爪角) 3.(물건을걸거나매다는)갈고랑이 4.발톱
1436,鶴,,鳥,21,S,2010,,つる,학 학,1.학 2.두루미
1437,低,,人,7,4,,,テイ、ひく-い、ひく-める、ひく-まる,낮을 저,1.낮다 2.(값이)싸다 3.소리가낮다 4.온도·기압이낮아지다 5.정도가낮다
1438,呈,,口,7,S,,,テイ,드릴 정,1.나타내다 2.드리다 3.드러나다 4.증정하다
1439,廷,,廴,7,S,,,テイ,조정 정,1.조정 2.법정
1440,弟,,弓,7,2,,,テイ、（ダイ）、（デ）、おとうと,아우 제,1.(남자)동생 2.(손아래)처남 3.시동생 4.매제 5.아우
1441,定,,宀,8,3,,,テイ、ジョウ、さだ-める、さだ-まる、さだ-か,정할 정,1.정하다 2.평정하다 3.변경되지않다 4.고정되다 5.규정
1442,底,,广,8,4,,,テイ、そこ,밑 저,1.바닥 2.밑 3.끝 4.(깊은)속 5.바닥(최저)시세
