굴 굴,窟,くつ,
활 궁,弓,きゅう,ゆみ
집 궁,宮,きゅう、ぐう、く,みや
다할/ 궁할 궁,窮,きゅう,きわめる、きわまる
문서 권,券,けん,
책 권,巻,かん,まく、まき
권세 권,権,けん、ごん,
주먹 권,拳,けん,こぶし
우리 권,圏,けん,
권할 권,勧,かん,すすめる
책상 궤,机,き,つくえ
바퀴자국 궤,軌,き,
무너질 궤,潰,かい,つぶす、つぶれる
돌아갈 귀,帰,き,かえる、かえす
귀할 귀,貴,き,たっとい、たっとぶ、とうとい、とうとぶ
귀신 귀,鬼,き,おに
거북 귀/ 터질 균,亀,き,かめ
법 규,規,き,
부르짖을 규,叫,きょう,さけぶ
규탄할 규,糾,きゅう,
고를 균,均,きん,
버섯 균,菌,きん,
다할 극,極,きょく、ごく,きわめる、きわまる、きわみ
심할 극,劇,げき,
이길 극,克,こく,
틈 극,隙,げき,すき
가까울 근,近,きん,ちかい
뿌리 근,根,こん,ね
부지런할 근,勤,きん,つとめる、つとまる
힘줄 근,筋,きん,すじ
근 근,斤,きん,
겨우 근,僅,きん,わずか
삼갈 근,謹,きん,つつしむ
쇠 금,金,きん、こん,かね、かな
이제 금,今,こん、きん,いま
금할 금,禁,きん,
거문고 금,琴,きん,こと
비단 금,錦,きん,にしき
옷깃 금,襟,きん,えり
급할 급,急,きゅう,いそぐ
등급 급,級,きゅう,
줄 급,給,きゅう,
미칠 급,及,きゅう,およぶ、および、およぼす
미칠 급,扱,,あつかう
즐길 긍,肯,こう,
기운 기,気,き、け,
물 끓는 김 기,汽,き,
기록할 기,記,き,しるす
기약할 기,期,き、ご,
일어날 기,起,き,おきる、おこる、おこす
벼리 기,紀,き,
기 기,旗,き,はた
그릇 기,器,き,うつわ
베틀 기,機,き,はた
재주 기,技,ぎ,わざ
부칠 기,寄,き,よる、よせる
터 기,基,き,もと、もとい
몸 기,己,こ、き,おのれ
꾀할 기,企,き,くわだてる、たくらむ
살 기,肌,,はだ
재간 기,伎,ぎ、き,
갈림길 기,岐,き,
꺼릴 기,忌,き,いむ、いまわしい
기특할 기,奇,き,
빌 기,祈,き,いのる
이미 기,既,き,すでに
주릴 기,飢,き,うえる
갑 기,埼,,さい
험할 기,崎,,さき
몇 기,幾,き,いく
바둑 기,棋,き,
속일 기,欺,ぎ,あざむく
바둑 기,碁,ご,
버릴 기,棄,き,
경기 기,畿,き,
말탈 기,騎,き,
긴할 긴,緊,きん,
길할 길,吉,きち、きつ,
먹을 끽,喫,きつ,
어찌 나,那,な,
어찌 나,奈,な,
허락할 낙,諾,だく,
어려울 난,難,なん,かたい、むずかしい
따뜻할 난,暖,だん,あたたか、あたたかい、あたたまる、あたためる
사내 남,男,だん、なん,おとこ
남녘 남,南,なん,みなみ
들일 납,納,のう、なつ,おさまる、おさめる
여자 낭,娘,,むすめ
안 내,内,ない、だい,うち
향내 내,匂,,みおう
견딜 내,耐,たい,たえる
여자 녀,女,じょ、にょ、にょう,おんな
해 년,年,ねん,とし
생각 념,念,ねん,
편안할 녕,寧,ねい,
힘쓸 노,努,ど,つとめる
종 노,奴,ど,やつ、やっこ
성낼 노,怒,ど,いかる、おこる
농사 농,農,のう,
짙을 농,濃,のう,こい
골 뇌,脳,のう,
번뇌할 뇌,悩,のう,なやむ、なやます、なやましい
오줌 뇨,尿,にょう,
능할 능,能,のう,
여승 니,尼,に,あま
진흙 니,泥,でい,どろ
숨길 닉,匿,とく,
많을 다,多,た,おおい
짧을 단,短,たん,みじかい
홑 단,単,たん,
둥글 단,団,だん、とん,
끊을 단,断,だん,たつ、ことわる
층계 단,段,だん,
붉을 단,丹,たん,
아침 단,旦,たん、だん,
다만 단,但,,ただし
끝 단,端,たん,はし、は、はた
단 단,壇,だん、たん,
쇠 불릴 단,鍛,たん,きたえる
통달할 달,達,たつ,
말씀 담,談,だん,
멜 담,担,たん,かつぐ、になう
쓸개 담,胆,たん,
맑을 담,淡,たん,あわい
흐릴 담,曇,どん,くもる
대답할 답,答,とう,こたえる
밟을 답,踏,とう,ふむ、ふまえる
마땅할 당,当,とう,あたる、あてる
집 당,堂,どう,
무리 당,党,とう,
엿 당,糖,とう,
당나라/ 당황할 당,唐,とう,から
큰 대,大,だい、たい,おお、おおいに、おおきい
대 대/ 태풍 태,台,だい、たい,
대신할 대,代,だい、たい,かわる、かえる、よ、しろ
대할 대,対,たい、つい,
기다릴 대,待,たい,まつ
띠 대,帯,たい,おびる、おび
무리 대,隊,たい,
빌릴 대,貸,たい,かす
자루 대,袋,たい,ふくろ
일 대,戴,たい,いただく
큰 덕,徳,とく,
칼 도,刀,とう,かたな
그림 도,図,ず、と,はかる
길 도,道,どう、とう,みち
법도 도,度,ど、と、たく,たび
섬 도,島,とう,しま
도읍 도,都,と、つ,みやこ
무리 도,徒,とどう,
인도할 도,導,とう,みちびく
이를 도,到,ちょう,いたる
돋울 도,挑,とう,いどむ
도망할 도,逃,とう,にげる、にがす、のがす、のがれる
넘어질 도,倒,とう,たおれる、たおす
길 도,途,と,
복숭아 도,桃,とう,もも
슬퍼할 도,悼,とう,いたむ
도둑 도,盗,とう,ぬすむ
질그릇 도,陶,とう,
건널 도,渡,と,わたる、わたす
뛸 도,跳,ちょう,はねる、とぶ
칠할 도,塗,と,ぬる
벼 도,稲,とう,いね、いな
내기 도,賭,と,かける
읽을 독,読,どく、とく、とう,よむ
독 독,毒,どく,
홀로 독,独,どく,ひとり
감독할 독,督,とく,
도타울 독,篤,とく,
돼지 돈,豚,とん,ぶた
조아릴 돈,頓,とん,
갑자기 돌,突,とつ,つく
겨울 동,冬,とう,ふゆ
한가지 동,同,どう,おなじ
동녘 동,東,とう,ひがし
움직일 동,動,どう,うごく、うごかす
아이 동,童,どう,わらべ
일할 동,働,どう,はたらく
구리 동,銅,どう,
골 동/밝을 통,洞,どう,ほら
얼 동,凍,とう,こおる、こごえる
몸통 동,胴,どう,
마룻대 동,棟,とう,むね、むな
동경할 동,憧,どう、しょう,あこがれる
눈동자 동,瞳,どう,ひとみ
머리 두,頭,とう、ず、と,あたま、かしら
콩 두,豆,とう、ず,まめ
말 두,斗,ととう,
역질 두,痘,とん,
진칠 둔,屯,どん,
둔할 둔,鈍,とく,にぶい、にぶる
얻을 득,得,とう、と,える、うる
오를 등,登,とう,のぼる
무리 등,等,とうとう,ひとしい
등불 등,灯,とう,ひ
베낄 등,謄,とう,
등나무 등,藤,とう,ふじ
오를 등,騰,とう,
벗을 라,裸,ら,はだか
벌일 라,羅,ら,
즐길 락/노래 악,楽,らく、がく,たのしい、たのしむ
떨어질 락,落,らく,おちる、おとす
이을/얽을 락,絡,らく,からむ、からまる、からめる
쇠젖 락,酪,らく,
알 란,卵,らん,たまご
어지러울 란,乱,らん,みだれる、みだす
난간 란,欄,らん,
매울 랄,辣,らつ,
볼 람,覧,らん,
남기 람,嵐,らん,あらし
넘칠 람,濫,らん,
쪽 람,藍,らん,あい
끌 랍,拉,ら,
밝을 랑,朗,ろう,ほがらか
사내 랑,郎,ろう,
물결 랑,浪,ろう,
행랑 랑,廊,ろう,
올 래,来,らい,くる、きたる、きたす
찰 랭,冷,れい,つめたい、ひえる、ひや、ひやす、ひやかす、ひめる、さます
간략할 략,略,りゃく,
두 량,両,りょう,
어질 량,良,りょう,よい
헤아릴 량,量,りょう,はかる
서늘할 량,涼,りょう,すずしい、すずむ
양식 량,糧,りょう、ろう,かて
나그네 려,旅,りょ,たび
어그러질 려,戻,れい,もどす、もどる
음률 려,呂,ろ,
힘쓸 려,励,れい,はげむ、はげます
짝 려,侶,りょ,
생각할 려,慮,りょ,
고울 려,麗,れい,うるわしい
힘 력,力,りょく、りき,ちから
지낼 력,歴,れき,
책력 력,暦,れき,こよみ
익힐 련,練,れん,ねる
잇닿을 련,連,れん,つらなる、つらねる、つれる
그리워할 련,恋,れん,こう、こい、こいしい
불릴/단련할 련,錬,れん,ねる
벌일 렬,列,れつ,
못할 렬,劣,れつ,おとる
매울 렬,烈,れつ,
